"time(h)"	"Y"			"branch index"	"6h_withvortex"		"branch index"	"6h_novortex"
5.066666667	0.03848123							
5.083333333	0.0389811							
5.1	0.03873056							
5.116666667	0.03894533							
5.133333333	0.03931629							
5.15	0.03972676							
5.166666667	0.03988872							
5.183333333	0.0399846							
5.2	0.04021943							
5.216666667	0.04045014							
5.233333333	0.04049048							
5.25	0.04050484							
5.266666667	0.04075297							
5.283333333	0.04100667							
5.3	0.04184378							
5.316666667	0.04152643							
5.333333333	0.04197205							
5.35	0.04188707							
5.366666667	0.04196185							
5.383333333	0.04285725							
5.4	0.04252555							
5.416666667	0.04270424							
5.433333333	0.04308175							
5.45	0.04311651							
5.466666667	0.0444448							
5.483333333	0.04380263							
5.5	0.04451625							
5.516666667	0.04468037							
5.533333333	0.0449543							
5.55	0.04544661							
5.566666667	0.0454131							
5.583333333	0.04576136							
5.6	0.04563362							
5.616666667	0.0458034							
5.633333333	0.04650408							
5.65	0.04680076							
5.666666667	0.04721734							
5.683333333	0.00736216							
5.7	0.20556396							
5.716666667	0.19712768							
5.733333333	0.19557618							
5.75	0.19321073							
5.766666667	0.19283282							
5.783333333	0.19589609							
5.8	0.20308689							
5.816666667	0.20135804							
5.833333333	0.20136887							
5.85	0.20426216							
5.866666667	0.20421557							
5.883333333	0.20362414							
5.9	0.20715682							
5.916666667	0.21332385							
5.933333333	0.22343056							
5.95	0.2236372							
5.966666667	0.21789713							
5.983333333	0.21494823							
6	0.21561981							
6.016666667	0.2180904							
6.033333333	0.21871583							
6.05	0.22364709							
6.066666667	0.22237366							
6.083333333	0.22839562							
6.1	0.23379986							
6.116666667	0.23748299							
6.133333333	0.23246968							
6.15	0.23173094							
6.166666667	0.23208474							
6.183333333	0.23450452							
6.2	0.23614249							
6.216666667	0.24319126							
6.233333333	0.2471875							
6.25	0.25499037							
6.266666667	0.25786559							
6.283333333	0.26337217							
6.3	0.26432079							
6.316666667	0.25855518							
6.333333333	0.27252675							
6.35	0.28349466							
6.366666667	0.28863028							
6.383333333	0.28786367							
6.4	0.29430333							
6.416666667	0.3002324							
6.433333333	0.32421138							
6.45	0.33250258							
6.466666667	0.3475763							
6.483333333	0.34149463							
6.5	0.33976216							
6.516666667	0.34013208							
6.533333333	0.36489187							
6.55	0.38193517							
6.566666667	0.38862795							
6.583333333	0.37613325							
6.6	0.36975487							
6.616666667	0.36468091							
6.633333333	0.38615896							
6.65	0.377441							
6.666666667	0.37849252							
6.683333333	0.37859582							
6.7	0.36555627							
6.716666667	0.36593727							
6.733333333	0.37932748							
6.75	0.38567235							
6.766666667	0.39975006							
6.783333333	0.40650458							
6.8	0.44099974							
6.816666667	0.44992064							
6.833333333	0.47651211							
6.85	0.48364953							
6.866666667	0.51215548							
6.883333333	0.52625539							
6.9	0.52462161							
6.916666667	0.53570018							
6.933333333	0.51389955							
6.95	0.50465537							
6.966666667	0.49442673							
6.983333333	0.51028592							
7	0.52550624							
7.016666667	0.55994887							
7.033333333	0.57266598							
7.05	0.57239028							
7.066666667	0.59285089							
7.083333333	0.59538071							
7.1	0.60794761							
7.116666667	0.62694081							
7.133333333	0.61515348							
7.15	0.62453932							
7.166666667	0.66009761							
7.183333333	0.6505549							
7.2	0.66218964							
7.216666667	0.66155789							
7.233333333	0.67259939							
7.25	0.66869056							
7.266666667	0.66642503							
7.283333333	0.69734863							
7.3	0.68846096							
7.316666667	0.68743372							
7.333333333	0.70954475							
7.35	0.71853842							
7.366666667	0.71686946							
7.383333333	0.73322967							
7.4	0.75963362							
7.416666667	0.77495566							
7.433333333	0.79378486							
7.45	0.79635366							
7.466666667	0.79102448							
7.483333333	0.76063186							
7.5	0.73560549							
7.516666667	0.72433012							
7.533333333	0.73461295							
7.55	0.7603514							
7.566666667	0.76599336							
7.583333333	0.76689748							
7.6	0.77392177							
7.616666667	0.77673586							
7.633333333	0.76682761							
7.65	0.76756488							
7.666666667	0.76112242							
7.683333333	0.76354007							
7.7	0.7775354							
7.716666667	0.7678924							
7.733333333	0.78565157							
7.75	0.79701773							
7.766666667	0.81160583							
7.783333333	0.80214299							
7.8	0.79376014							
7.816666667	0.79252803							
7.833333333	0.79211304							
7.85	0.78717841							
7.866666667	0.78078111							
7.883333333	0.78087285							
7.9	0.79466854							
7.916666667	0.79358711							
7.933333333	0.80500508							
7.95	0.8195176							
7.966666667	0.83533782							
7.983333333	0.85263162							
8	0.84520757							
8.016666667	0.83553319							
8.033333333	0.82937737							
8.05	0.82216532							
8.066666667	0.82037609							
8.083333333	0.81315976							
8.1	0.826964							
8.116666667	0.830291							
8.133333333	0.83442609							
8.15	0.84215818							
8.166666667	0.84702056							
8.183333333	0.84156589							
8.2	0.83868905							
8.216666667	0.82818566							
8.233333333	0.81811341							
8.25	0.82289736							
8.266666667	0.80720502							
8.283333333	0.81019071							
8.3	0.80474459							
8.316666667	0.81991167							
8.333333333	0.85232312							
8.35	0.84903511							
8.366666667	0.86114091							
8.383333333	0.86604513							
8.4	0.8792124							
8.416666667	0.87188103							
8.433333333	0.87084334							
8.45	0.85660462							
8.466666667	0.85478117							
8.483333333	0.85803116							
8.5	0.86499602							
8.516666667	0.86922191							
8.533333333	0.86801737							
8.55	0.86172465							
8.566666667	0.88974669							
8.583333333	0.87874655							
8.6	0.87913206							
8.616666667	0.89275472							
8.633333333	0.88589491							
8.65	0.88140092							
8.666666667	0.88416747							
8.683333333	0.87920574							
8.7	0.89816091							
8.716666667	0.88856306							
8.733333333	0.88376675							
8.75	0.89488002							
8.766666667	0.89123787							
8.783333333	0.87400253							
8.8	0.865334							
8.816666667	0.8860242							
8.833333333	0.88782389							
8.85	0.89201317							
8.866666667	0.88009703							
8.883333333	0.88313596							
8.9	0.87319633							
8.916666667	0.87927847							
8.933333333	0.88820892							
8.95	0.88820227							
8.966666667	0.89718501							
8.983333333	0.90146746							
9	0.90316067							
9.016666667	0.90773404							
9.033333333	0.90449688							
9.05	0.90298098							
9.066666667	0.89692071							
9.083333333	0.90701388							
9.1	0.92123073							
9.116666667	0.91935356							
9.133333333	0.91764942							
9.15	0.90653805							
9.166666667	0.90014693							
9.183333333	0.90421785							
9.2	0.91386514							
9.216666667	0.91992778							
9.233333333	0.92204786							
9.25	0.90886395							
9.266666667	0.90288306							
9.283333333	0.90857494							
9.3	0.91180163							
9.316666667	0.90222517							
9.333333333	0.89396117							
9.35	0.90802495							
9.366666667	0.91741555							
9.383333333	0.92147648							
9.4	0.90767319							
9.416666667	0.9121686							
9.433333333	0.90875414							
9.45	0.90500123							
9.466666667	0.91610975							
9.483333333	0.91499743							
9.5	0.90785097							
9.516666667	0.90737657							
9.533333333	0.91434239							
9.55	0.91312691							
9.566666667	0.91702005							
9.583333333	0.90725203							
9.6	0.91095408							
9.616666667	0.92073636							
9.633333333	0.92566244							
9.65	0.92401106							
9.666666667	0.92502452							
9.683333333	0.93262446							
9.7	0.93236016							
9.716666667	0.92825549							
9.733333333	0.92298763							
9.75	0.91918196							
9.766666667	0.92337789							
9.783333333	0.92200603							
9.8	0.91926467							
9.816666667	0.91466943							
9.833333333	0.92027337							
9.85	0.92818894							
9.866666667	0.93271145							
9.883333333	0.93428534							
9.9	0.93368972							
9.916666667	0.9319832							
9.933333333	0.9368589							
9.95	0.93710466							
9.966666667	0.9322841							
9.983333333	0.92959171							
10	0.93704619							
10.01666667	0.93543949							
10.03333333	0.93619531							
10.05	0.93081431							
10.06666667	0.93316398							
10.08333333	0.92552744							
10.1	0.92702718							
10.11666667	0.92725535							
10.13333333	0.92893714							
10.15	0.93405622							
10.16666667	0.93979515							
10.18333333	0.93826547							
10.2	0.9440429							
10.21666667	0.94542095							
10.23333333	0.94676572							
10.25	0.94438944							
10.26666667	0.94910351							
10.28333333	0.94886726							
10.3	0.9494296							
10.31666667	0.95559445							
10.33333333	0.95396637							
10.35	0.94969627							
10.36666667	0.95226318							
10.38333333	0.95341496							
10.4	0.95080527							
10.41666667	0.94903125							
10.43333333	0.94941391							
10.45	0.95209585							
10.46666667	0.94867569							
10.48333333	0.9459196							
10.5	0.94308935							
10.51666667	0.94911824							
10.53333333	0.94747305							
10.55	0.94534394							
10.56666667	0.94456579							
10.58333333	0.94912633							
10.6	0.95676857							
10.61666667	0.95537436							
10.63333333	0.95056284							
10.65	0.95160624							
10.66666667	0.95329184							
10.68333333	0.95385086							
10.7	0.9550169							
10.71666667	0.95553265							
10.73333333	0.95418598							
10.75	0.95881021							
10.76666667	0.95825357							
10.78333333	0.95730477							
10.8	0.95384848							
10.81666667	0.96063652							
10.83333333	0.9639521							
10.85	0.96142703							
10.86666667	0.96027097							
10.88333333	0.95904979							
10.9	0.96069974							
10.91666667	0.96276847							
10.93333333	0.96749538							
10.95	0.97231356							
10.96666667	0.96311976							
10.98333333	0.96171129							
11	0.96229265							
11.01666667	0.96524649							
11.03333333	0.96434712							
11.05	0.96332369							
11.06666667	0.96697772							
11.08333333	0.97283787							
11.1	0.98012645							
11.11666667	0.97334887							
11.13333333	0.97370064							
11.15	0.9754699							
11.16666667	0.96615251							
11.18333333	0.96662073							
11.2	0.96887295							
11.21666667	0.9722104							
11.23333333	0.96628513							
11.25	0.96665496							
11.26666667	0.96882875							
11.28333333	0.97578743							
11.3	0.97394639							
11.31666667	0.97328423							
11.33333333	0.96980322							
11.35	0.97323479							
11.36666667	0.97431954							
11.38333333	0.97687076							
11.4	0.9751324							
11.41666667	0.97149357							
11.43333333	0.9702201							
11.45	0.97519705							
11.46666667	0.98355089							
11.48333333	0.98341589							
11.5	0.97822599							
11.51666667	0.98642868							
11.53333333	0.99001664							
11.55	0.99009317							
11.56666667	0.98430861							
11.58333333	0.98585493							
11.6	0.98162857							
11.61666667	0.98114799							
11.63333333	0.9820407							
11.65	0.98070638							
11.66666667	0.97636166							
11.68333333	0.97773258							
11.7	0.9788354							
11.71666667	0.98144271							
11.73333333	0.97936684							
11.75	0.98370729							
11.76666667	0.98438276							
11.78333333	0.98657699							
11.8	0.98216144							
11.81666667	0.98493465							
11.83333333	0.9928949							
11.85	0.99327566							
11.86666667	0.98752056							
11.88333333	0.98263251							
11.9	0.98435472							
11.91666667	0.9881466							
11.93333333	0.98370253							
11.95	0.9831226							
11.96666667	0.98683368							
11.98333333	0.98377336							
12	0.98457385							
12.01666667	0.98592813							
12.03333333	0.98189381							
12.05	0.9812673							
12.06666667	0.98685079							
12.08333333	0.98545991							
12.1	0.98401104							
12.11666667	0.98424063							
12.13333333	0.98296288							
12.15	0.98010411							
12.16666667	0.98088654							
12.18333333	0.98058659							
12.2	0.98276989							
12.21666667	0.98164711							
12.23333333	0.98248468							
12.25	0.98695585							
12.26666667	0.99108048							
12.28333333	0.97739318							
12.3	0.97827115							
12.31666667	0.98611875							
12.33333333	0.98698151							
12.35	0.99008129							
12.36666667	0.98915102							
12.38333333	0.98996768							
12.4	0.98416553							
12.41666667	0.9827119							
12.43333333	0.98383563							
12.45	0.98515854							
12.46666667	0.98238723							
12.48333333	0.98260827							
12.5	0.9858207							
12.51666667	0.98636593							
12.53333333	0.97909827							
12.55	0.98296431							
12.56666667	0.98551315							
12.58333333	0.98449304							
12.6	0.98419167							
12.61666667	0.98666018							
12.63333333	0.98619623							
12.65	0.98756715							
12.66666667	0.99006085							
12.68333333	0.98598422							
12.7	0.98598565							
12.71666667	0.98541095							
12.73333333	0.98329801							
12.75	0.98236299							
12.76666667	0.98177403							
12.78333333	0.98528831							
12.8	0.99209251							
12.81666667	0.99273566							
12.83333333	0.99385464							
12.85	0.99706184							
12.86666667	0.99577079							
12.88333333	0.99298807							
12.9	0.99618767							
12.91666667	1.00042782							
12.93333333	0.99901317							
12.95	0.98930314							
12.96666667	0.99558778							
12.98333333	0.99776822							
13	0.99910396							
13.01666667	0.99725151							
13.03333333	0.99449542							
13.05	0.99250939							
13.06666667	0.9934002							
13.08333333	0.99007844							
13.1	0.99179731							
13.11666667	1.00070495							
13.13333333	0.99879355							
13.15	0.99949708							
13.16666667	0.9992632							
13.18333333	1.00477634							
13.2	0.99903313							
13.21666667	1.00186196							
13.23333333	1.00218567							
13.25	0.9995969							
13.26666667	1.0013847							
13.28333333	1.00478918							
13.3	0.99875077							
13.31666667	0.9995893							
13.33333333	0.99579503							
13.35	0.99791225							
13.36666667	0.99503351							
13.38333333	1.00188477							
13.4	0.99981794							
13.41666667	0.99707278							
13.43333333	0.99940581							
13.45	1.0056201							
13.46666667	1.00355421							
13.48333333	0.99408138							
13.5	0.99505015							
13.51666667	1.00378904							
13.53333333	1.00482293							
13.55	0.99981889							
13.56666667	1.00318772							
13.58333333	1.0043105							
13.6	1.00631696							
13.61666667	1.00425916							
13.63333333	1.00183106							
13.65	1.00922897							
13.66666667	1.0016837							
13.68333333	1.00909017							
13.7	1.00891049							
13.71666667	1.00165423							
13.73333333	1.0029952							
13.75	1.00422018							
13.76666667	1.00366449							
13.78333333	1.00742406							
13.8	1.01959356							
13.81666667	1.02336359							
13.83333333	1.00952464							
13.85	1.00381375							
13.86666667	1.00271141							
13.88333333	1.00463849							
13.9	1.00404668							
13.91666667	0.99754195							
13.93333333	1.00566335							
13.95	1.00081475							
13.96666667	0.99938917							
13.98333333	1.00400199							
14	1.01076436							
14.01666667	1.0042506							
14.03333333	1.00623378							
14.05	1.00287541							
14.06666667	1.00406854							
14.08333333	1.00836336							
14.1	1.00953558							
14.11666667	1.01137281							
14.13333333	1.00391405							
14.15	1.00088701							
14.16666667	0.99799449							
14.18333333	1.00205495							
14.2	1.0049546							
14.21666667	1.00301897							
14.23333333	1.00458383							
14.25	1.01044302							
14.26666667	1.01028473							
14.28333333	1.01374055							
14.3	1.01039121							
14.31666667	1.00681893							
14.33333333	1.00436136							
14.35	1.00302847							
14.36666667	1.00714455							
14.38333333	1.00416361							
14.4	1.00449494							
14.41666667	1.00297476							
14.43333333	1.00762656							
14.45	1.01175262							
14.46666667	1.01513761							
14.48333333	1.01429291							
14.5	1.01052954							
14.51666667	1.00768788							
14.53333333	1.01250178							
14.55	1.01392641							
14.56666667	1.01649094							
14.58333333	1.01145172							
14.6	1.01210628							
14.61666667	1.01399296							
14.63333333	1.01297143							
14.65	1.00946522							
14.66666667	1.00849408							
14.68333333	1.00981176							
14.7	1.00964348							
14.71666667	1.00527832							
14.73333333	1.00958311							
14.75	1.00743071							
14.76666667	1.00602557							
14.78333333	1.01057375							
14.8	1.00607311							
14.81666667	1.00308219							
14.83333333	1.00229976							
14.85	1.00594904							
14.86666667	1.00837809							
14.88333333	1.00540856							
14.9	1.00600085							
14.91666667	1.00591576							
14.93333333	1.00472168							
14.95	1.00780577							
14.96666667	1.00834529							
14.98333333	1.00189713							
15	1							
15.01666667	1.00387508							
15.03333333	1.00145078							
15.05	1.00379189							
15.06666667	1.00324809							
15.08333333	1.00284641							
15.1	1.00219803							
15.11666667	0.99855826							
15.13333333	1.00299948							
15.15	1.00325141							
15.16666667	1.00233018							
15.18333333	1.00650568							
15.2	1.00284831							
15.21666667	1.00422303							
15.23333333	1.00425251							
15.25	1.00197462							
15.26666667	1.00387698							
15.28333333	0.99889528							
15.3	0.9942045							
15.31666667	0.99937301							
15.33333333	1.004812							
15.35	1.004079							
15.36666667	1.00437847							
15.38333333	1.00699957							
15.4	1.00394115							
15.41666667	1.00274136							
15.43333333	1.00245995							
15.45	1.00523363							
15.46666667	0.99780292							
15.48333333	1.00017541							
15.5	0.99705044							
15.51666667	0.99674241							
15.53333333	0.99667206							
15.55	1.00388506							
15.56666667	1.00746351							
15.58333333	1.0122679							
15.6	1.01403146							
15.61666667	1.01405238							
15.63333333	1.01141797							
15.65	1.01325474							
15.66666667	1.02073821							
15.68333333	1.02271235							
15.7	1.0210857							
15.71666667	1.01480201							
15.73333333	1.01369967							
15.75	1.01254646							
15.76666667	1.00681133							
15.78333333	1.00293625							
15.8	1.00648856							
15.81666667	1.00718068							
15.83333333	1.00280411							
15.85	1.00128583							
15.86666667	0.99886676							
15.88333333	0.99869421							
15.9	1.00145315							
15.91666667	1.00019109							
15.93333333	1.00389361							
15.95	1.00046775							
15.96666667	1.00046775							
15.98333333	0.99970528							
16	0.99828921							
16.01666667	1.0030375							
16.03333333	1.00150782							
16.05	1.00197414							
16.06666667	1.00261919							
