"time [h]"	"Idle rep 1"	"Idle rep 2"	"Idle rep 3"	"Idle rep 4"	"Idle rep 5"	"Idle rep 6"			"Agitated rep 1"	"Agitated rep 2"	"Agitated rep 3"
6.99222									5.730617031	11.1979	11.13025
7.04861									5.789242269	11.32122	10.61361
7.105									5.562069471	10.91836	10.37796
7.16139									5.386193756	11.25545	10.4414
7.21778									5.474131614	11.09924	10.26013
7.27417									4.94650447	11.00058	10.10605
7.33056									5.078411256	10.52372	10.23294
7.38694									5.43749084	10.53194	10.06979
7.44333									5.349552983	10.37573	9.680051
7.49972									5.166349113	10.17019	9.371884
7.55611									5.034442327	10.1373	9.208737
7.6125									5.10039572	10.36751	9.136228
7.66889									4.660706434	9.972869	9.081845
7.72528									5.224974351	9.676889	8.592405
7.78167									4.865894768	9.479569	8.755552
7.83806									4.433533636	9.717997	8.592405
7.89444									4.690019053	9.167146	8.818998
7.95083									4.62406566	9.627559	8.16641
8.00722									4.455518101	9.101373	8.456449
8.06361									4.440861791	9.487791	8.066709
8.12									3.99384435	9.265806	7.686033
8.17639									3.693390004	9.331579	7.885435
8.23278									4.155063755	9.13426	7.450376
8.28917									3.876593874	8.98627	8.012327
8.34556									3.891250183	8.879388	7.350675
8.40194									3.664077385	8.88761	6.761534
8.45833									3.642092921	8.410754	6.933744
8.51472									3.8399531	8.410754	7.504758
8.57111									3.334310421	8.525857	7.151273
8.6275									3.957203576	8.534079	7.060636
8.68389									3.444232742	8.180548	6.897489
8.74028									3.414920123	8.616295	6.571196
8.79667									3.187747325	7.983228	6.82498
8.85306									2.857980361	7.876346	6.625578
8.90944									3.092481313	7.966785	6.453367
8.96583									2.850652206	7.588588	6.335539
9.02222									2.916605599	7.827016	6.235838
9.07861									2.689432801	7.555702	6.625578
9.135									3.085153158	7.59681	5.882353
9.19139									2.748058039	7.506372	5.701079
9.24778									3.077825004	7.670805	5.909544
9.30417									2.616151253	7.777686	6.11801
9.36056									2.39630661	7.506372	5.456358
9.41694									2.147149348	7.259722	5.601378
9.47333									2.476916312	7.407712	5.646696
9.52972									2.645463872	6.914413	5.528868
9.58611									2.323025062	7.2515	5.837034
9.6425									2.88729298	6.897969	5.320402
9.69889									2.601494944	6.708871	5.166319
9.75528									2.674776491	6.889748	4.94879
9.81167									2.388978455	6.70065	5.157256
9.86806									3.04118423	6.544438	5.048491
9.92444									2.366993991	6.536216	5.528868
9.98083									2.967902682	6.347118	5.121001
10.03722									2.462260003	6.585546	4.903471
10.09361									2.359665836	6.963742	4.622496
10.15									2.432947384	6.692428	4.658751
10.20639									2.814011432	6.199129	4.658751
10.26278									2.388978455	6.470443	4.812834
10.31917									3.063168694	6.190907	4.658751
10.37556									2.191118276	5.968922	4.849089
10.43194									2.323025062	6.388227	4.785643
10.48833									2.176461967	5.927814	4.676878
10.54472									2.711417265	5.927814	4.196501
10.60111									3.04118423	6.026474	4.323393
10.6575									2.835995896	5.640056	4.223693
10.71389									2.41096292	5.936036	4.278075
