"time [h]"	"Agitated rep 1"	"Agitated rep 2"	"Agitated rep 3"	"Idle rep 1"	"Idle rep 2"	"Idle rep 3"
1755.6	0.996307953651399	0.994549929106088	0.985998340132858			
1762.2	0.992183859325833	0.998183850464136	0.98828702547322			
1768.8	0.995497863694591	0.995377295129572	0.987587493741282			
1775.4	0.995686066411829	0.996610232733196	0.991260035333956			
1782	0.994409561025345	0.996456115532743	0.986842340374652			
1788.6	0.994237723761779	0.98986963307128	0.987397403596734			
1795.8	0.996946206344641	0.994606709127307	0.990742990140784			
1802.4	0.997911768111341	0.991102570674904	0.989572034850367			
1809	0.996046106392632	0.991175573559329	0.988796467060609			
1815.6	0.998042691740724	0.993170985733614	0.992256107691389			
1822.2	0.994745052825639	0.994833829212185	0.990241152159177			
1828.8	0.998059057194397	0.989277498564277	0.993351026923988			
1835.4	0.993394902897626	0.992789748448283	0.987207313452185			
1842	0.998059057194397	0.989163938521838	0.988910521147338			
1848.6	0.994204992854434	0.990964676337656	0.992917621394418			
1855.2	0.994573215562073	0.992919531353928	1.00913611252728			
1861.8	0.992830294745912	0.99065644193675	1.00278710169937			
1868.4	0.999311014400372	0.99304120282797	1.00073412813825			
1875	0.997862671750322	0.997251035829816	0.993533513462754			
1882.2	0.993820404693121	0.993706340219398	0.999198199770295			
1888.8	1.00250227786658	0.99630199833229	1.00452832742343			
1895.4	0.998435462628873	0.995028503570652	1.00347142621974			
1902	0.996929840890968	0.9951663979079	0.997137622603391			
1908.6	0.99984289164474	1.00034149127048	1.00221683126572			
1915.2	1.00050569251849	0.995198843634311	1.00617070627233			
1921.8	0.996496156368637	0.997445710188283	1.00864187815146			
1928.4	0.999286466219862	0.997680941704763	1.00499975098191			
1935	1.00028475889391	1.00434853848225	1.00095463270592			
1941.6	1.00044841343064	1.00172854607455	0.995943856495627			
1948.2	0.998582751711929	0.999871028237516	1.00087099304232			
1955.4	0.998132701735924	1.00082817716664	1.00750894088995			
1962	0.99793631629185	1.00009814832239	1.00852022045895			
1968.6	0.996807099988421	1.00067405996619	1.00602623776247			
1975.2	0.999932901639941	1.00399163549173	1.00111430842734			
1981.8	1.00004745981565	1.00197188902264	0.997844757941111			
1988.4	1.00048932706482	1.0015825403057	1.00242973222762			
1995	1.00196221789538	0.994647266285321	0.997175640632301			
2001.6	1.00483435501497	1.00027659981766	0.988568358887151			
2008.2	1.00150398519254	1.00103096295671	0.994362306492985			
2014.8	1.00399971687765	0.998337967664589	0.992697116826741			
2021.4	0.9994746689371	1.00075517428222	0.990689764900311			
2028	1.00250227786658	1.00402408121814	0.996126343034394			
0						
0						
0						
0						
0						
160.2				0.00117252255808128	-0.000895862284095404	0.000528196182852079
180				0.00017718690687435	-0.0014900305228322	0.000862762252750459
199.8				0.000846464327513492	-0.00103928220379049	0.00067875091430635
220.2				0.000460342738683218	-0.00036315972522793	0.000745664128286026
240				0.000468923218435002	-0.00110074788365982	0.000151809354216402
259.8				0.000880786246520628	-0.000875373724138963	1.2546227621311E-06
280.2				0.00103523488205274	-0.000178762685619958	0.000787484887023323
300				4.84797105975914E-05	1.58786339662346E-05	0.000369277299650349
319.8				0.000254411224640405	-0.000393892565162592	0.000377641451397808
340.2				0.000477503698186785	0.000220764233530648	-0.000324947295388789
360				-0.000620797710041551	0.000138809993704883	0.000544924486346998
379.8				-0.000663700108800471	0.00040516127313862	-0.000943894524700792
400.2				-0.000775246345573661	-0.000332426885293268	-0.000157664260439599
420				-0.000680861068304038	0.000384672713182178	4.30753814994286E-05
439.8				-0.00101549977862361	0.000231008513508868	-0.000776611489751602
460.2				-0.000672280588552255	0.000886642432114991	-4.89302877226259E-05
480				-0.000466349074509441	0.000651023992615916	-0.000258034081409113
499.8				3.13187510940237E-05	0.000753466792398122	-0.000626056758297331
520.2				-0.000363383317488035	0.00130665791122204	-0.000442045419853222
540				-0.0005950562707862	0.00167545199043798	-0.00151265684352804
559.8				-0.000277578519970196	0.00116323799152695	-0.00132864550508393
580.2				-0.000303319959225548	0.00134763503113492	-0.00135373796032631
600				-0.000921114501353987	0.00167545199043798	-0.00118645492537712
619.8				-0.000517831953020145	0.000866153872158549	-0.00172176063721452
640.2				-0.000689441548055822	0.000835421032223887	-0.00234070786652653
660				9.99625891082947E-05	0.00151154351078645	-0.00173012478896198
679.8				-0.000766665865821877	0.00149105495083001	-0.00188067952041625
700.2				-0.000646539149296903	0.00151154351078645	-0.0030683890685555
720				-0.00129865561043248	0.00224913166921834	-0.00272545884690966
739.8				-0.000946855940609339	0.00130665791122204	-0.00264181732943507
760.2				-0.000723763467062958	0.00162423059054688	-0.00376261366359464
780				-0.00111846553564502	0.00192131470991528	-0.0027589154538995
799.8				-0.000766665865821877	0.00157300919065578	-0.00332767777272675
820.2				-0.00170193815876632	0.00171642911035086	-0.00334440607622167
840				-0.00128149465092891	0.00192131470991528	-0.00333604192447421
859.8				-0.00259430805295184	0.00201351322971926	-0.00270873054341474
880.2				-0.00154748952323421	0.00192131470991528	-0.00331094946923183
900				-0.00142736280670924	0.00201351322971926	-0.00373752120835226
919.8				-0.00146168472571637	0.00208522318956681	-0.00400517406427097
940.2				-0.00141878232695745	0.00247450582873919	-0.00434810428591681
960				-0.00177916247653238	0.00297647554767201	-0.0044317458033914
979.8				-0.00167619671951097	0.00253597150860852	-0.00461575714183551
1000.2				-0.00131581656993605	0.00249499438869563	-0.00519288361241021
1020				-0.00212238166660373	0.00336575818684439	-0.00519288361241021
1039.8				-0.00105840217738253	0.00374479654603856	-0.00500887227396611
1060.2				-0.00165045528025562	0.00268963570828183	-0.00564454780677303
1080				-0.00123859225216999	0.00378577366595144	-0.00584528744871205
1099.8				-0.00170193815876632	0.00363210946627813	-0.00598747802841887
1120.2				-0.00147884568521994	0.00328380394701863	-0.00629695164307487
1140				-0.0014445237662128	0.00341697958673549	-0.00625513088433757
1159.8				-0.000843890183587932	0.0035194223865177	-0.00663988186472071
1180.2				-0.0028860443645125	0.00393943786562475	-0.00737592721849714
1200				-0.0023540546199019	0.00353991094647414	-0.00730064985277001
1219.8				-0.00229399126163941	0.00393943786562475	-0.00701626869335638
1240.2				-0.00328932691284634	0.00348868954658304	-0.00688244226539703
1260				-0.00304049300004461	0.00311989546736709	-0.00796141784081931
